	7058
0	7057
0	7057
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7058
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7058
0	7057
0	7058
0	7057
0	7058
0	7058
0	7057
0	7057
0	7057
0	7058
0	7058
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7058
0	7057
0	7058
0	7058
0	7058
0	7058
0	7057
0	7058
0	7058
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7058
0	7057
0	7058
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7058
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7057
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7058
0	7058
0	7057
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7058
0	7058
0	7058
0	7057
0	7058
0	7058
0	7057
0	7057
0	7058
0	7057
0	7057
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7058
0	7058
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7058
0	7058
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7058
0	7058
0	7057
0	7058
0	7058
0	7058
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7058
0	7058
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7058
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7058
0	7058
0	7057
0	7058
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7058
0	7057
0	7058
0	7057
0	7057
0	7058
0	7057
0	7058
0	7057
0	7057
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7057
0	7058
0	7058
0	7057
0	7057
0	7058
0	7058
0	7058
0	7057
0	7057
0	7057
0	7058
0	7058
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
0	7057
0	7058
0	7057
0	7057
0	7057
0	7057
