	0	0.000
181	0	0.000
168	0	0.000
174	0	0.000
200	0	0.000
181	0	0.000
181	0	0.000
174	0	0.000
181	0	0.000
187	0	0.000
181	0	0.000
181	0	0.000
163	0	0.000
181	0	0.000
174	0	0.000
181	0	0.000
181	0	0.000
168	0	0.000
174	0	0.000
174	0	0.000
181	0	0.000
174	0	0.000
181	0	0.000
181	0	0.000
156	0	0.000
156	0	0.000
174	0	0.000
174	0	0.000
163	0	0.000
163	0	0.000
192	0	0.000
181	0	0.000
156	0	0.000
181	0	0.000
155	0	0.000
181	0	0.000
181	0	0.000
181	0	0.000
181	0	0.000
181	0	0.000
193	0	0.0169	0	0.000
00
181	0	0.000
174	0	0.000
162	0	0.000
174	0	0.000
187	0	0.000
181	0	0.000
181	0	0.000
150	0	0.000
187	0	0.000
181	0	0.000
193	0	0.000
174	0	0.000
181	0	0.000
163	0	0.000
174	0	0.000
174	0	0.000
163	0	0.000
163	0	0.000
163	0	0.000
181	0	0.000
187	0	0.000
173	0	0.000
181	0	0.000
174	0	0.000
200	0	0.000
169	0	0.000
181	0	0.000
187	0	0.000
181	0	0.000
187	0	0.000
181	0	0.000
174	0	0.000
155	0	0.000
173	0	0.000
156	0	0.000
156	0	0.000
181	0	0.000
155	0	0.000
163	0	0.000
162	0	0.000
181	0	0.000
174	0	0.000
181	-1	0.000
162	0	0.000
537	0	0.000
295	0	0.000
193	-2	0.000
181	0	0.000
875	0	0.000
446	0	0.000
240	0	0.000
211	0	0.000
186	0	0.000
181	0	0.000
200	0	0.000
200	0	0.000
192	0	0.000
200	0	0.000
199	0	0.000
199	0	0.000
167	0	0.000
187	0	0.000
206	0	0.000
181	0	0.000
187	0	0.000
193	0	0.000
206	0	0.000
173	0	0.000
206	0	0.000
181	0	0.000
173	0	0.000
212	0	0.000
205	0	0.000
192	0	0.000
205	0	0.000
218	0	0.000
199	0	0.000
217	0	0.000
199	0	0.000
192	0	0.000
205	0	0.000
181	0	0.000
181	0	0.000
199	0	0.000
192	0	0.000
173	0	0.000
181	0	0.000
192	0	0.000
199	0	0.000
199	0	0.000
199	0	0.000
199	0	0.000
211	0	0.000
199	0	0.000
218	0	0.000
199	0	0.000
192	0	0.000
217	0	0.000
199	0	0.000
187	0	0.000
192	0	0.000
173	0	0.000
181	0	0.000
218	0	0.000
187	0	0.000
181	0	0.000
193	0	0.000
193	0	0.000
173	0	0.000
174	0	0.000
199	0	0.000
192	0	0.000
181	0	0.000
174	0	0.000
174	0	0.000
181	0	0.000
192	0	0.000
218	0	0.000
181	0	0.000
217	0	0.000
162	0	0.000
173	0	0.000
199	0	0.000
199	0	0.000
193	0	0.000
181	0	0.000
199	0	0.000
174	0	0.000
200	0	0.000
199	0	0.000
217	0	0.000
205	0	0.000
192	0	0.000
192	0	0.000
186	0	0.000
217	0	0.000
186	0	0.000
199	0	0.000
192	0	0.000
199	0	0.000
192	0	0.000
199	0	0.000
192	0	0.000
199	0	0.000
199	0	0.000
200	0	0.000
192	0	0.000
199	0	0.000
200	0	0.000
200	0	0.000
199	0	0.000
181	0	0.000
199	0	0.000
173	0	0.000
174	0	0.000
199	0	0.000
206	0	0.000
186	0	0.000
205	0	0.000
173	0	0.000
173	0	0.000
218	0	0.000
181	0	0.000
187	0	0.000
205	0	0.000
186	0	0.000
200	0	0.000
193	0	0.000
186	0	0.000
